Brand,Model,Size,Smart,Seller,Price
Sunny,SN49FAL27/0216,49,1,UmutTicaret,5579.1
LG,55NANO756PA,55,1,BULDUGUNUAL,13999.0
Samsung,UE32T5300,32,1,SamsungBeykoz,4999.0
Philips,58PUS8506,58,1,Tekno11,15599.0
Sony,KD-50X85J,50,1,Hepsisony,15999.0
Skytech,4041,40,0,AZİZOĞLUBEYAZEŞYA,3999.0
Regal,58R754U,58,1,AZİZOĞLUBEYAZEŞYA,9459.0
Philips,43PUS7505/62,43,1,UmutTicaret,6699.0
Samsung,UE55AU7000,55,1,EPATeknoloji,10372.79
Samsung,QE65Q60A,65,1,Avrupa,15799.0
Philips,43PUS7506,43,1,InnTurkey,7369.0
Beko,B43,43,0,trendperakendee,4999.0
TCL,50C725,50,1,Nethouse,9879.05
TCL,50P615,50,1,incehesap,8587.54
Axen,AX39HDAL04,39,0,incehesap,3215.04
Samsung,UE50AU7000,50,1,Tekno11,10399.0
Vestel,58U9500,58,1,Ensarlar-Vestel-YOB,10124.0
Altus,AL43,43,1,enucuzunadresi,4302.94
Samsung,UE50TU7000,50,1,EVAİLETİŞİM,9399.0
Arçelik,A32,32,1,Electromoda,4399.0
Samsung,QE75QN85,75,1,Avrupa,36000.0
Samsung,QE85QN90,85,1,Avrupa,59060.0
Altus,AL-32,32,1,EgeizoYapı,4229.0
Samsung,UE58AU7000,58,1,TVSHOOP,12499.0
Samsung,QE75QN900,75,1,Avrupa,85920.0
Altus,AL50,50,1,EfeFarukAvm,7690.0
Samsung,QE85QN85,85,1,TURKUAZANKARA,53952.0
Samsung,UE40T5300,40,1,Nar724,6099.0
Elton,EL32DAL13,32,1,beyazeşyaraeda,2500.0
Vestel,43U9500,43,1,Ahmetoğlu-Vestel-YOB,5899.0
Jvc,LT-50VA3005T,50,0,SarfBilişim(artsrf),6499.0
Philips,43PFS6805/62,43,1,InnTurkey,5649.0
Sunny,SN43DAL13-TNR,43,1,UmutTicaret,4599.0
Vestel,43U9600,43,1,Ensarlar-Vestel-YOB,6884.0
Samsung,QE75QN85,75,1,TURKUAZANKARA,35499.0
Sunny,SN32DIL04,32,0,enucuzunadresi,2508.04
Onvo,OV39150,39,1,mustafahira,3298.0
Altus,AL43,43,1,RisiCo.,4841.0
Nexon,39NXN,39,0,Orhanmağazaları,3331.02
Onvo,OV65351,65,1,mustafahira,8298.04
Sunny,SN43DAL010,43,0,sönmezevdünyası,4899.0
Vestel,43F9510,43,1,Ensarlar-Vestel-YOB,6094.0
Botech,55BSE7501,55,1,onlineticaretdunyasi,11231.0
Telenova,24D4001,24,0,11pro,1871.04
Samsung,QE65LS03A,65,1,next-time,18769.25
Beko,Crystal,55,1,trendperakendee,8999.0
Botech,32BSE8501,32,1,AnkasTReGo,4295.0
Regal,43R654FA9,43,1,SendeKaldı,5219.52
Samsung,UE65AU8000,65,1,TURKUAZANKARA,16405.0
Regal,50R754U,50,1,AZİZOĞLUBEYAZEŞYA,6799.0
Awox,A202400,24,0,EfeFarukAvm,2250.0
Vestel,43UA9600,43,1,Ensarlar-Vestel-YOB,7045.0
Vestel,55U9500,55,1,Ahmetoğlu-Vestel-YOB,7999.0
Toshiba,32LA3B63DT,32,1,Rampapashop,3899.0
Awox,A202400,24,0,teknolojist,1999.0
Regal,32R604H,32,0,eksikvar,3376.54
Vestel,32H8501,32,0,asravbilisim,3249.0
Sony,XR-65A90J,65,1,Hepsisony,55499.0
Axen,AX55FIL243,55,1,incehesap,6699.0
Axen,AX32DAB04,32,0,Geyo_Shop,2315.04
Sunny,SN49FAL27/0216,49,1,sönmezevdünyası,5599.0
Nordmende,NM58F351,58,1,mustafahira,7099.0
Samsung,QE50Q60A,50,1,EMİN_TEKNOLOJİ,11000.04
Altus,AL50L,50,1,AZİZOĞLUBEYAZEŞYA,7499.0
Toshiba,50UA2063DT,50,1,AnkasTReGo,8550.0
Samsung,QE55QN90,55,1,EMİN_TEKNOLOJİ,19679.04
LG,OLED48A16LA,48,1,ŞAHİNCELL,13944.42
Vestel,55U9500,55,1,GizemDtm-VestelYOB,7390.0
Saba,SB42251,42,1,SendeKaldı,3533.76
Sunny,SN49FAL27/0216,49,1,SendeKaldı,5021.0
Vestel,55UA9800,55,1,Ahmetoğlu-Vestel-YOB,8999.0
Axen,AX43DIL010,43,0,incehesap,3647.04
LG,65UP81006LA.APD,65,1,Tekno11,13214.0
LG,55UP75006LF,55,1,incehesap,11000.04
Sony,KD-85XH9096,85,1,Hepsisony,47500.0
Philips,43PFS5505/62,43,0,Tekno11,6107.0
Blaupunkt,BL40335,40,1,NebiogluGrup,4439.0
Finlux,55FX660UA,55,1,Tekno11,6998.0
Saba,SB32F152,32,1,pakticaret,2849.0
Samsung,QE75LS03A,75,1,Avrupa,29820.0
Philips,50PUS7805/62,50,1,Tekno11,9870.0
Techwood,39H802,39,0,AZİZOĞLUBEYAZEŞYA,3999.0
Saba,SB42250,42,1,SendeKaldı,3780.48
Vestel,55O9900,55,1,Şentürk-Vestel-YOB,19499.06
Regal,43R654FA9,43,1,ÖzbaşHome,5499.0
Altus,AL50L,50,1,ANADOLUDTM,6240.0
Samsung,UE55AU7000,55,1,Electromoda,11799.0
Philips,65PUS7906,65,1,Electromoda,15999.0
Nordmende,NM43250,43,1,kolaysepet,3789.39
Grundig,Toronto,43,1,trendperakendee,5499.0
LG,43UP77006LB,43,1,EGEMTEKNOLOJİAVM,7995.0
Samsung,UE32T5300,32,1,Avrupa,5423.3
Skytech,SLT-2430C,24,0,EfeFarukAvm,2190.0
Vestel,43U9600,43,1,Şentürk-Vestel-YOB,6367.06
Regal,58R7540UA,58,1,ANADOLUDTM,11249.0
Vestel,24H8510,24,0,EgeizoDtm-Vestel-YOB,3299.0
Next,YE-65020FS2-4K,65,1,DALOGLUDİGİTAL,9408.03
Regal,32R4020H,32,0,eksikvar,3499.0
LG,OLED55C14LB,55,1,doguhan,19799.0
Next,YE-43020FS2,43,1,DALOGLUDİGİTAL,5066.25
Nordmende,NM43F250,43,1,Evdeuzman,3999.0
Woon,WN43DLK13/0216,43,1,meletelektronik,3798.0
Sony,XR-77A80J,77,1,Hepsisony,58999.0
Techwood,39TEC600,39,0,AZİZOĞLUBEYAZEŞYA,2999.0
Woon,WN32DEG04,32,0,Depoevim.Express,2499.0
Toshiba,50UA3A63DT,50,1,incehesap,7140.04
Samsung,QE50Q60A,50,1,EPATeknoloji,11004.42
LG,65UP81006LA.APD,65,1,techkeyfim,14979.0
Regal,58R754U,58,1,SendeKaldı,7104.0
Toshiba,43LL3A63DT,43,1,beyazeşyaraeda,5600.0
Sunny,SN39DAL13/0216,39,1,sönmezevdünyası,4399.0
Samsung,QE75QN90,75,1,Avrupa,40560.0
Regal,65R854UQ,65,1,BUHARASANAL,13509.04
Samsung,UE55AU8000,55,1,doguhan,11193.04
